Condition,Copies
NT-1 Infected,155475
NT-1 Infected,59149
NT-1 Infected,49931
NT-1 Infected,106289
NT-2 Infected,394827
NT-2 Infected,172359
NT-2 Infected,114522
NT-2 Infected,45694
NRP1-843,588875
NRP1-843,950736
NRP1-843,99397
NRP1-843,822742
NRP1-844,417329
NRP1-844,253423
NRP1-844,74435
NRP1-844,371134
AXL-845,144992
AXL-845,343067
AXL-845,73450
AXL-845,140237
AXL-847,67089
AXL-847,86882
AXL-847,54797
AXL-847,45490
