MOI,Time,Cell.line,Replicate,Cells
5,2,WT,3,8956.496
5,3,WT,3,8231.732
5,4,WT,3,8604.562
5,5,WT,3,7444.886
5,6,WT,3,6606.229
5,7,WT,3,6130.396
5,8,WT,3,6776.455
5,9,WT,3,6533.328
5,10,WT,3,6486.896
5,11,WT,3,5555.717
5,12,WT,3,5485.97
5,13,WT,3,5986.552
5,14,WT,3,5852.4
5,15,WT,3,5306.774
5,16,WT,3,5412.949
5,17,WT,3,5680.041
5,18,WT,3,4884.424
5,19,WT,3,4920.163
5,20,WT,3,3969.615
5,21,WT,3,4189.067
5,22,WT,3,4270.544
5,23,WT,3,3990.733
5,24,WT,3,4474.866
5,25,WT,3,3974.389
5,26,WT,3,4565.5
5,27,WT,3,4243.402
5,28,WT,3,4337.286
5,29,WT,3,4463.953
5,30,WT,3,4727.448
5,31,WT,3,5174.54
5,32,WT,3,4905.644
5,33,WT,3,4857.899
5,34,WT,3,4899.639
5,35,WT,3,4755.641
5,36,WT,3,5009.428
5,37,WT,3,5697.559
5,38,WT,3,5442.889
5,39,WT,3,5118.05
5,40,WT,3,5046.235
5,41,WT,3,5769.747
5,42,WT,3,6387.018
5,43,WT,3,7087.112
5,44,WT,3,7189.109
5,45,WT,3,8007.343
5,46,WT,3,7182.127
5,47,WT,3,8708.265
5,48,WT,3,9365.922
5,49,WT,3,8944.446
5,50,WT,3,8447.5
5,51,WT,3,8741.673
5,52,WT,3,8936.335
5,53,WT,3,10532.6
5,54,WT,3,12148.16
5,55,WT,3,13407.95
5,56,WT,3,12087.27
5,57,WT,3,12113.95
5,58,WT,3,12617.7
5,59,WT,3,14123.42
5,60,WT,3,13406.58
5,61,WT,3,16072.66
5,62,WT,3,17101.63
5,63,WT,3,16082.71
5,64,WT,3,17461.53
5,65,WT,3,17604.64
5,66,WT,3,19058.24
5,67,WT,3,21566.64
5,68,WT,3,21731.08
5,69,WT,3,21028.59
5,70,WT,3,23642.66
5,71,WT,3,24466.36
5,72,WT,3,24980.23
5,73,WT,3,27995.26
5,74,WT,3,27309.73
5,75,WT,3,29315.99
5,76,WT,3,29871.43
5,77,WT,3,31415.89
5,78,WT,3,31053.64
5,79,WT,3,31886.95
5,80,WT,3,36011.05
5,81,WT,3,37454.78
5,82,WT,3,37998.8
5,83,WT,3,36523.27
5,84,WT,3,40887.97
5,85,WT,3,39760.73
5,86,WT,3,44608.73
5,87,WT,3,45402.77
5,88,WT,3,45022.64
5,89,WT,3,46931.05
5,90,WT,3,47270.99
5,91,WT,3,49424.91
5,92,WT,3,48308.74
5,93,WT,3,50676.27
5,94,WT,3,53929.54
5,95,WT,3,61415.52
5,96,WT,3,53894.7
5,97,WT,3,58862.41
5,0,E484D,1,34659.28
5,1,E484D,1,34999.15
5,2,E484D,1,23787.29
5,3,E484D,1,37230.35
5,4,E484D,1,35086.69
5,5,E484D,1,42808.51
5,6,E484D,1,78593.24
5,7,E484D,1,141260.9
5,8,E484D,1,200071.5
5,9,E484D,1,275905
5,10,E484D,1,289273.9
5,11,E484D,1,302055
5,12,E484D,1,326195.5
5,13,E484D,1,144032.3
5,14,E484D,1,174922.2
5,15,E484D,1,176225.6
5,16,E484D,1,161509.1
5,17,E484D,1,189190.1
5,18,E484D,1,197572.1
5,19,E484D,1,149009.4
5,20,E484D,1,156959.9
5,21,E484D,1,185513.2
5,22,E484D,1,146343.3
5,23,E484D,1,147271.9
5,24,E484D,1,164559.7
5,25,E484D,1,142389.9
5,26,E484D,1,142305.2
5,27,E484D,1,255823.5
5,28,E484D,1,186623.6
5,29,E484D,1,144334.1
5,30,E484D,1,139813.7
5,31,E484D,1,134809.8
5,32,E484D,1,120507.4
5,33,E484D,1,126167.3
5,34,E484D,1,128419.1
5,35,E484D,1,45660.48
5,36,E484D,1,53530.36
5,37,E484D,1,51091.39
5,38,E484D,1,46961.15
5,39,E484D,1,44847.89
5,40,E484D,1,54530.31
5,41,E484D,1,51974.07
5,42,E484D,1,37743.19
5,43,E484D,1,31718.62
5,44,E484D,1,44252.32
5,45,E484D,1,40538.5
5,46,E484D,1,38811.47
5,47,E484D,1,40145.77
5,48,E484D,1,49231.8
5,49,E484D,1,48685.52
5,50,E484D,1,46137.1
5,51,E484D,1,52818.43
5,52,E484D,1,54279.62
5,53,E484D,1,56851.7
5,54,E484D,1,47457.01
5,55,E484D,1,51806.08
5,56,E484D,1,57485.91
5,57,E484D,1,80329.81
5,58,E484D,1,102840
5,59,E484D,1,52149.88
5,60,E484D,1,46024.56
5,61,E484D,1,134631.6
5,62,E484D,1,124056.6
5,63,E484D,1,126563.4
5,64,E484D,1,106043.5
5,65,E484D,1,171016.4
5,66,E484D,1,51806.07
5,67,E484D,1,291560.5
5,68,E484D,1,296106.5
5,69,E484D,1,314327.1
5,70,E484D,1,56163.61
5,71,E484D,1,166076.5
5,72,E484D,1,57546.05
5,73,E484D,1,55944.48
5,74,E484D,1,70096.52
5,75,E484D,1,69657.37
5,76,E484D,1,72251.18
5,77,E484D,1,59858.84
5,78,E484D,1,202821.5
5,79,E484D,1,161949.7
5,80,E484D,1,187567.9
5,81,E484D,1,79224.7
5,82,E484D,1,68369.7
5,83,E484D,1,184095.8
5,84,E484D,1,309276.5
5,85,E484D,1,311616.3
5,86,E484D,1,304934.5
5,87,E484D,1,310781.3
5,88,E484D,1,304155.3
5,89,E484D,1,249233.6
5,90,E484D,1,200700.8
5,91,E484D,1,191708.5
5,92,E484D,1,95416.39
5,93,E484D,1,98215.82
5,94,E484D,1,103896.5
5,95,E484D,1,109267.7
5,96,E484D,1,107899.6
5,97,E484D,1,104207.8
5,0,E484D,2,7844.124
5,1,E484D,2,6380.627
5,2,E484D,2,5837.136
5,3,E484D,2,8205.025
5,4,E484D,2,17086.49
5,5,E484D,2,44724.7
5,6,E484D,2,89664.7
5,7,E484D,2,134620.3
5,8,E484D,2,142787.8
5,9,E484D,2,128133.7
5,10,E484D,2,124768.7
5,11,E484D,2,145008.5
5,12,E484D,2,140617.4
5,13,E484D,2,189651.6
5,14,E484D,2,157383.4
5,15,E484D,2,213716.6
5,16,E484D,2,212719.7
5,17,E484D,2,229005
5,18,E484D,2,281900.9
5,19,E484D,2,209841.1
5,20,E484D,2,416125.8
5,21,E484D,2,211792.6
5,22,E484D,2,239892.7
5,23,E484D,2,239497.4
5,24,E484D,2,207044.2
5,25,E484D,2,211624.1
5,26,E484D,2,210252.8
5,27,E484D,2,196969.3
5,28,E484D,2,199907.2
5,29,E484D,2,193411.3
5,30,E484D,2,191356.4
5,31,E484D,2,186496
5,32,E484D,2,186679.5
5,33,E484D,2,178004.2
5,34,E484D,2,166774.2
5,35,E484D,2,152114.5
5,36,E484D,2,153683.1
5,37,E484D,2,155700.1
5,38,E484D,2,159195.4
5,39,E484D,2,16259.37
5,40,E484D,2,20119.73
5,41,E484D,2,17104.35
5,42,E484D,2,17742.88
5,43,E484D,2,16578.05
5,44,E484D,2,20393
5,45,E484D,2,22825.29
5,46,E484D,2,22057.9
5,47,E484D,2,22981.02
5,48,E484D,2,50750.48
5,49,E484D,2,26726.27
5,50,E484D,2,24544.46
5,51,E484D,2,25456.79
5,52,E484D,2,19554
5,53,E484D,2,21939.49
5,54,E484D,2,21034.1
5,55,E484D,2,23116.6
5,56,E484D,2,22301.43
5,57,E484D,2,22665.49
5,58,E484D,2,22938.89
5,59,E484D,2,23469.59
5,60,E484D,2,24373.39
5,61,E484D,2,24510
5,62,E484D,2,24278.33
5,63,E484D,2,26427.92
5,64,E484D,2,27070.71
5,65,E484D,2,27405.07
5,66,E484D,2,26441.07
5,67,E484D,2,26902.3
5,68,E484D,2,27365.27
5,69,E484D,2,29209.12
5,70,E484D,2,32061.49
5,71,E484D,2,30679.75
5,72,E484D,2,31191.99
5,73,E484D,2,31907.75
5,74,E484D,2,32795.23
5,75,E484D,2,34501.65
5,76,E484D,2,33689.46
5,77,E484D,2,35312.17
5,78,E484D,2,34370.15
5,79,E484D,2,36114.98
5,80,E484D,2,37920.3
5,81,E484D,2,38735.61
5,82,E484D,2,39800.65
5,83,E484D,2,41780.44
5,84,E484D,2,43940.7
5,85,E484D,2,46214.07
5,86,E484D,2,47362.39
5,87,E484D,2,49244.77
5,88,E484D,2,50586.52
5,89,E484D,2,52572.57
5,90,E484D,2,53577.79
5,91,E484D,2,55681.97
5,92,E484D,2,57725.55
5,93,E484D,2,59769.52
5,94,E484D,2,61438.43
5,95,E484D,2,71584.88
5,96,E484D,2,62460.09
5,97,E484D,2,65416.7
5,0,E484D,3,4456.386
5,1,E484D,3,4261.262
5,2,E484D,3,2713.338
5,3,E484D,3,3686.341
5,4,E484D,3,2870.433
5,5,E484D,3,6938.168
5,6,E484D,3,25726.34
5,7,E484D,3,53774.39
5,8,E484D,3,81540.56
5,9,E484D,3,107074.1
5,10,E484D,3,138066.4
5,11,E484D,3,115484.2
5,12,E484D,3,106337.3
5,13,E484D,3,102973.8
5,14,E484D,3,101495.8
5,15,E484D,3,98422.23
5,16,E484D,3,94951.74
